,Code Postal,Ville,Pièces,Chambres,Superficie,Loyer
0,75001,PARIS,3,1,71,2150
1,75001,PARIS,2,1,35,1600
2,75001,PARIS,2,1,50,2515
3,75001,PARIS,1,,35,1380
4,75001,PARIS,2,1,42,1700
5,75001,PARIS,1,,"34,41",1195
6,75001,PARIS,2,1,"42,8",2150
7,75001,PARIS,2,1,28,1450
8,75001,PARIS,1,,30,1390
9,75001,PARIS,1,,28,1390
10,75001,PARIS,3,2,55,2400
11,75001,PARIS,4,3,180,8700
12,75001,PARIS,1,,16,740
13,75001,PARIS,3,2,93,4850
14,75001,PARIS,1,,37,1700
15,75001,PARIS,6,4,149,4280
16,75001,PARIS,3,2,42,1800
17,75001,PARIS,2,1,51,3000
18,75001,PARIS,2,1,"28,47",1450
19,75001,PARIS,4,3,115,3800
20,75001,PARIS,4,3,115,4200
21,75001,PARIS,5,3,"147,68",4735
22,75001,PARIS,4,3,145,5000
23,75001,PARIS,2,1,55,1750
24,75001,PARIS,5,2,205,12900
25,75001,PARIS,2,1,"42,8",2310
26,75001,PARIS,4,2,80,4500
27,75001,PARIS,2,1,58,2300
28,75001,PARIS,2,1,"64,13",2600
29,75001,PARIS,1,,11,700
30,75001,PARIS,2,1,"35,77",1440
31,75001,PARIS,8,5,"236,52",8587
32,75001,PARIS,4,3,55,2600
33,75001,PARIS,2,1,36,1818
34,75001,PARIS,4,2,205,12900
35,75001,PARIS,3,1,57,2400
36,75001,PARIS,3,2,75,2490
37,75001,PARIS,3,2,71,3500
38,75001,PARIS,3,2,74,2600
39,75001,PARIS,2,1,45,2400
40,75001,PARIS,3,2,135,7000
41,75001,PARIS,3,2,50,2600
42,75001,PARIS,3,2,120,6000
43,75001,PARIS,5,3,130,4700
44,75001,PARIS,1,,14,943
45,75001,PARIS,2,1,37,1700
46,75001,PARIS,3,2,80,3750
47,75001,PARIS,2,1,36,2000
48,75001,PARIS,1,,15,545
49,75001,PARIS,2,1,42,1750
50,75001,PARIS,2,1,43,1700
51,75001,PARIS,1,,26,1200
52,75001,PARIS,1,,54,2400
53,75001,PARIS,1,,19,900
54,75001,PARIS,3,2,68,2700
55,75001,PARIS,1,1,33,1330
56,75001,PARIS,1,,38,1700
57,75001,PARIS,1,,38,1680
58,75001,PARIS,8,5,"236,52",8520
59,75001,PARIS,3,2,75,2530
60,75001,PARIS,1,,"27,51",1163
61,75001,PARIS,2,1,53,2121
62,75001,PARIS,3,2,65,2848
63,75001,PARIS,4,3,110,3450
64,75001,PARIS,2,1,43,2250
65,75001,PARIS,4,2,"93,24",2380
66,75001,PARIS,4,3,182,10000
67,75001,PARIS,2,1,42,1700
68,75001,PARIS,1,,26,1300
69,75001,PARIS,2,1,36,1650
70,75001,PARIS,3,2,44,1900
71,75001,PARIS,2,1,39,3100
72,75001,PARIS,2,1,"46,65",1440
73,75001,PARIS,3,2,"51,42",1950
74,75001,PARIS,4,2,130,6500
75,75001,PARIS,2,1,35,1800
76,75001,PARIS,1,,"22,3",812
77,75001,PARIS,2,1,"42,6",1242
78,75001,PARIS,6,4,119,3423
79,75001,PARIS,1,,"16,84",707
80,75001,PARIS,1,,15,850
81,75001,PARIS,2,1,"31,65",1600
82,75001,PARIS,1,,"34,42",1322
83,75001,PARIS,1,,38,1680
84,75001,PARIS,3,2,70,2530
85,75001,PARIS,3,2,80,2950
86,75001,PARIS,1,,26,1800
87,75001,PARIS,2,1,49,3050
88,75001,PARIS,1,,50,2175
89,75001,PARIS,4,2,83,2548
90,75001,PARIS,1,,32,1500
91,75001,PARIS,3,2,84,4375
92,75001,PARIS,6,3,210,9200
93,75001,PARIS,2,1,33,2000
94,75001,PARIS,1,,"40,48",1395
95,75001,PARIS,6,3,"254,8",9440
96,75001,PARIS,2,1,"59,07",2170
97,75001,PARIS,1,,"50,75",3000
98,75001,PARIS,2,1,44,1590
99,75001,PARIS,1,,27,1390
100,75001,PARIS,5,3,"147,68",4735
101,75001,PARIS,1,,25,1303
102,75001,PARIS,3,2,"83,9",4375
103,75001,PARIS,2,1,"47,4",1990
104,75001,PARIS,2,1,70,2542
105,75001,PARIS,5,3,182,10000
106,75001,PARIS,2,1,58,2500
107,75001,PARIS,3,2,"83,9",4375
108,75001,PARIS,3,2,115,6000
109,75001,PARIS,3,1,58,1850
110,75001,PARIS,2,1,48,1710
111,75001,PARIS,3,2,65,2570
112,75001,PARIS,3,2,65,2570
113,75001,PARIS,1,,13,750
114,75001,PARIS,4,2,71,2550
115,75001,PARIS,5,3,"184,2",5950
116,75001,PARIS,1,,27,1150
117,75001,PARIS,2,1,63,2950
118,75001,PARIS,1,,27,1070
119,75001,PARIS,2,1,40,1560
120,75001,PARIS,3,2,40,2300
121,75001,PARIS,2,1,51,2800
122,75001,PARIS,2,1,"58,93",1705
123,75001,PARIS,3,2,"83,9",4375
124,75001,PARIS,1,,"26,6",1400
125,75001,PARIS,3,2,55,2800
126,75001,PARIS,4,2,100,3000
127,75001,PARIS,1,,28,1300
128,75001,PARIS,2,1,42,2020
129,75001,PARIS,2,1,"35,77",1440
130,75001,PARIS,2,1,36,1900
131,75001,PARIS,5,2,115,4180
132,75001,PARIS,2,1,"38,76",1500
133,75001,PARIS,3,2,94,2900
134,75001,PARIS,1,,50,3950
135,75001,PARIS,1,,37,1600
136,75001,PARIS,5,3,118,3600
137,75001,PARIS,3,2,70,2700
138,75001,PARIS,4,2,120,4800
139,75001,PARIS,4,3,110,5000
140,75001,PARIS,4,3,78,5000
141,75001,PARIS,2,1,43,1850
142,75001,PARIS,1,,31,3811
143,75001,PARIS,1,,21,1512
144,75001,PARIS,2,1,55,1950
145,75001,PARIS,2,1,40,2200
146,75001,PARIS,2,1,50,2400
147,75001,PARIS,2,1,32,1550
148,75001,PARIS,2,1,34,2000
149,75001,PARIS,2,1,50,2200
150,75001,PARIS,2,1,35,1800
151,75001,PARIS,5,3,180,10700
152,75001,PARIS,4,3,110,6000
153,75001,PARIS,1,,35,1600
154,75001,PARIS,3,2,63,2600
155,75001,PARIS,4,3,110,4700
156,75001,PARIS,2,1,32,1850
157,75001,PARIS,1,4,60,2367
158,75001,PARIS,1,4,40,1846
159,75001,PARIS,1,4,50,1893
160,75001,PARIS,2,1,47,2150
161,75001,PARIS,2,1,40,2020
162,75001,PARIS,2,1,40,1800
163,75001,PARIS,2,1,40,2200
164,75001,PARIS,2,1,50,2500
165,75001,PARIS,3,2,92,4800
166,75001,PARIS,2,1,30,1450
167,75001,PARIS,1,,17,915
168,75001,PARIS,2,1,40,2600
