Code Postal,Ville,Pièces,Chambres,Superficie,Prix de vente
75001,PARIS,3,2,93,1680000
75001,PARIS,3,2,"87,4",1295000
75001,PARIS,5,4,"115,19",1905000
75001,PARIS,4,4,"93,5",1177000
75001,PARIS,2,1,54,870000
75001,PARIS,3,2,"86,92",1672000
75001,PARIS,1,,"24,6",381600
75001,PARIS,6,4,180,3150000
75001,PARIS,4,2,65,1850000
75001,PARIS,3,1,"55,34",696000
75001,PARIS,2,1,40,750000
75001,PARIS,2,1,64,1260000
75001,PARIS,4,2,207,5200000
75001,PARIS,2,1,36,595000
75001,PARIS,3,2,93,1680000
75001,PARIS,5,3,116,1990000
75001,PARIS,3,2,"93,3",1680000
75001,PARIS,4,3,118,1389000
75001,PARIS,2,1,"51,6",844600
75001,PARIS,4,3,95,1570000
75001,PARIS,2,1,"34,02",650000
75001,PARIS,3,2,"71,56",1370000
75001,PARIS,1,,25,349000
75001,PARIS,2,1,"56,92",730000
75001,PARIS,7,4,"400,66",18000000
75001,PARIS,3,2,93,1680000
75001,PARIS,3,2,"87,4",1295000
75001,PARIS,5,4,"115,19",1905000
75001,PARIS,4,4,"93,5",1177000
75001,PARIS,2,1,54,870000
75001,PARIS,3,2,"86,92",1672000
75001,PARIS,1,,"24,6",381600
75001,PARIS,6,4,180,3150000
75001,PARIS,4,2,65,1850000
75001,PARIS,3,1,"55,34",696000
75001,PARIS,2,1,40,750000
75001,PARIS,2,1,64,1260000
75001,PARIS,4,2,207,5200000
75001,PARIS,2,1,36,595000
75001,PARIS,3,2,93,1680000
75001,PARIS,5,3,116,1990000
75001,PARIS,3,2,"93,3",1680000
75001,PARIS,4,3,118,1389000
75001,PARIS,2,1,"51,6",844600
75001,PARIS,4,3,95,1570000
75001,PARIS,2,1,"34,02",650000
75001,PARIS,3,2,"71,56",1370000
75001,PARIS,1,,25,349000
75001,PARIS,2,1,"56,92",730000
75001,PARIS,7,4,"400,66",18000000
75001,PARIS,3,2,90,1400000
75001,PARIS,4,1,102,1005480
75001,PARIS,5,3,145,2500000
75001,PARIS,3,2,58,900000
75001,PARIS,3,2,"55,76",795000
75001,PARIS,3,2,"81,6",1295000
75001,PARIS,3,2,56,820000
75001,PARIS,2,1,39,900000
75001,PARIS,6,4,"155,07",3225000
75001,PARIS,6,4,179,2665000
75001,PARIS,2,1,"66,44",985000
75001,PARIS,2,1,"26,46",450000
75001,PARIS,2,1,"43,41",650000
75001,PARIS,4,2,77,1095000
75001,PARIS,2,1,62,995000
75001,PARIS,2,1,"26,46",450000
75001,PARIS,2,1,"26,46",450000
75001,PARIS,1,,32,528000
75001,PARIS,1,,20,315000
75001,PARIS,5,2,111,1750000
75001,PARIS,4,3,102,1795000
75001,PARIS,2,1,"42,5",600000
75001,PARIS,5,2,176,5500000
75001,PARIS,2,1,44,695000
75001,PARIS,2,1,45,752000
75001,PARIS,3,2,90,1400000
75001,PARIS,4,1,102,1005480
75001,PARIS,5,3,145,2500000
75001,PARIS,3,2,58,900000
75001,PARIS,3,2,"55,76",795000
75001,PARIS,3,2,"81,6",1295000
75001,PARIS,3,2,56,820000
75001,PARIS,2,1,39,900000
75001,PARIS,6,4,"155,07",3225000
75001,PARIS,6,4,179,2665000
75001,PARIS,2,1,"66,44",985000
75001,PARIS,2,1,"26,46",450000
75001,PARIS,2,1,"43,41",650000
75001,PARIS,4,2,77,1095000
75001,PARIS,2,1,62,995000
75001,PARIS,2,1,"26,46",450000
75001,PARIS,2,1,"26,46",450000
75001,PARIS,1,,32,528000
75001,PARIS,1,,20,315000
75001,PARIS,5,2,111,1750000
75001,PARIS,4,3,102,1795000
75001,PARIS,2,1,"42,5",600000
75001,PARIS,5,2,176,5500000
75001,PARIS,2,1,44,695000
75001,PARIS,2,1,45,752000
75001,PARIS,4,1,136,3000000
75001,PARIS,2,1,"28,47",351000
75001,PARIS,3,1,"81,32",1520000
75001,PARIS,6,4,191,3650000
75001,PARIS,6,4,"155,07",3225000
75001,PARIS,2,1,38,630000
75001,PARIS,3,2,"73,5",1155000
75001,PARIS,2,1,"38,09",555000
75001,PARIS,4,3,119,1395000
75001,PARIS,1,,"39,56",450000
75001,PARIS,2,1,"32,86",790000
75001,PARIS,2,1,42,546000
75001,PARIS,4,2,105,1400000
75001,PARIS,1,,34,790000
75001,PARIS,2,1,69,1470000
75001,PARIS,2,1,52,845000
75001,PARIS,4,3,105,1850000
75001,PARIS,3,1,78,1210000
75001,PARIS,4,2,108,1930000
75001,PARIS,4,3,94,1390000
75001,PARIS,5,3,95,1350000
75001,PARIS,5,2,176,5500000
75001,PARIS,2,1,"52,2",1300000
75001,PARIS,2,1,51,1460000
75001,PARIS,4,2,82,1094500
75001,PARIS,4,1,136,3000000
75001,PARIS,2,1,"28,47",351000
75001,PARIS,3,1,"81,32",1520000
75001,PARIS,6,4,191,3650000
75001,PARIS,6,4,"155,07",3225000
75001,PARIS,2,1,38,630000
75001,PARIS,3,2,"73,5",1155000
75001,PARIS,2,1,"38,09",555000
75001,PARIS,4,3,119,1395000
75001,PARIS,1,,"39,56",450000
75001,PARIS,2,1,"32,86",790000
75001,PARIS,2,1,42,546000
75001,PARIS,4,2,105,1400000
75001,PARIS,1,,34,790000
75001,PARIS,2,1,69,1470000
75001,PARIS,2,1,52,845000
75001,PARIS,4,3,105,1850000
75001,PARIS,3,1,78,1210000
75001,PARIS,4,2,108,1930000
75001,PARIS,4,3,94,1390000
75001,PARIS,5,3,95,1350000
75001,PARIS,5,2,176,5500000
75001,PARIS,2,1,"52,2",1300000
75001,PARIS,2,1,51,1460000
75001,PARIS,4,2,82,1094500
75001,PARIS,2,1,38,630000
75001,PARIS,2,1,38,477000
75001,PARIS,5,2,137,3000000
75001,PARIS,5,2,147,2000000
75001,PARIS,3,2,55,995000
75001,PARIS,3,1,54,1500000
75001,PARIS,3,2,66,1100000
75001,PARIS,2,1,43,620000
75001,PARIS,5,3,142,2150000
75001,PARIS,2,1,41,504000
75001,PARIS,4,3,"79,06",1395000
75001,PARIS,7,5,"233,55",3580000
75001,PARIS,3,1,"76,56",1134000
75001,PARIS,2,1,52,649000
75001,PARIS,3,1,56,1050000
75001,PARIS,1,,"22,67",345000
75001,PARIS,4,2,136,2500000
75001,PARIS,4,2,"154,4",3290000
75001,PARIS,4,2,"100,45",1650000
75001,PARIS,7,4,470,18000000
75001,PARIS,2,1,"34,02",650000
75001,PARIS,4,3,"118,75",1390000
75001,PARIS,1,,33,590000
75001,PARIS,2,1,21,320000
75001,PARIS,2,1,30,450000
75001,PARIS,2,1,38,630000
75001,PARIS,2,1,38,477000
75001,PARIS,5,2,137,3000000
75001,PARIS,5,2,147,2000000
75001,PARIS,3,2,55,995000
75001,PARIS,3,1,54,1500000
75001,PARIS,3,2,66,1100000
75001,PARIS,2,1,43,620000
75001,PARIS,5,3,142,2150000
75001,PARIS,2,1,41,504000
75001,PARIS,4,3,"79,06",1395000
75001,PARIS,7,5,"233,55",3580000
75001,PARIS,3,1,"76,56",1134000
75001,PARIS,2,1,52,649000
75001,PARIS,3,1,56,1050000
75001,PARIS,1,,"22,67",345000
